R	53.4509	-6.15649	A122	19 Feb 2025	A122\n16:50 - Dublin Connolly to Belfast (3 mins late)\nDeparted Malahide next stop Drogheda	Northbound
R	53.4509	-6.15649	E246	19 Feb 2025	E246\n17:04 - Malahide to Bray (1 mins late)\nDeparted Malahide next stop Portmarnock	Southbound
R	53.523	-7.34608	A911	19 Feb 2025	A911\n15:05 - Sligo to Dublin Connolly (8 mins late)\nDeparted Mullingar next stop Enfield	Southbound
R	53.6118	-6.18226	D823	19 Feb 2025	D823\n16:19 - Grand Canal Dock to Drogheda (2 mins late)\nArrived Balbriggan next stop Gormanston	To Drogheda
R	53.6118	-6.18226	P617	19 Feb 2025	P617\n16:43 - Drogheda to Grand Canal Dock (10 mins late)\nDeparted Balbriggan next stop Skerries	To Grand Canal Dock
R	53.6794	-6.24253	D822	19 Feb 2025	D822\n16:00 - Grand Canal Dock to Drogheda (1 mins late)\nDeparted Laytown next stop Drogheda	To Drogheda
R	53.6794	-6.24253	P618	19 Feb 2025	P618\n17:03 - Drogheda to Grand Canal Dock (0 mins late)\nArrived Laytown next stop Gormanston	To Grand Canal Dock
R	53.8591	-7.9164	A908	19 Feb 2025	A908\n15:05 - Dublin Connolly to Sligo (5 mins late)\nArrived Dromod next stop Carrick on Shannon	Northbound
R	54.0007	-6.41291	A118	19 Feb 2025	A118\n14:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A120	19 Feb 2025	A120\n15:50 - Dublin Connolly to Belfast (14 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A121	19 Feb 2025	A121\n16:00 - Belfast to Dublin Connolly (-3 mins late)\nArrived Dundalk next stop Drogheda	Southbound
R	54.2723	-8.48249	A913	19 Feb 2025	A913\n17:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Sligo next stop Collooney	Southbound
T	53.3531	-6.24591	P710	19 Feb 2025	P710\n15:58 - Drogheda to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 17:03	Southbound
T	53.378	-6.58993	D923	19 Feb 2025	D923\n16:12 - Dublin Pearse to Maynooth(-1 mins late)\nTERMINATED Maynooth at 17:03	Northbound
T	53.4509	-6.15649	E830	19 Feb 2025	E830\n15:31 - Greystones to Malahide(6 mins late)\nTERMINATED Malahide at 17:04	Northbound
